route,day_num,day_name,month,avg_in,total_in
Route 3 West Side Connector,4,Friday,2025-08,243.0,1215
Route 4 Sunset,4,Friday,2025-08,193.8,969
Route 2 Riverside,4,Friday,2025-08,236.6,1183
Route 6 Dixie Dr South,4,Friday,2025-08,105.0,525
Route 5 Ivins,4,Friday,2025-08,71.0,355
Route 7 Washington,4,Friday,2025-08,103.6,518
Route 8 Zion,4,Friday,2025-08,85.4,427
Route 1 Red Cliffs,5,Saturday,2025-08,200.8,1004
Route 3 West Side Connector,5,Saturday,2025-08,225.0,1125
Route 4 Sunset,5,Saturday,2025-08,152.4,762
Route 2 Riverside,5,Saturday,2025-08,225.6,1128
Route 6 Dixie Dr South,5,Saturday,2025-08,83.4,417
Route 5 Ivins,5,Saturday,2025-08,59.8,299
Route 7 Washington,5,Saturday,2025-08,89.4,447
Route 8 Zion,5,Saturday,2025-08,84.0,420
Route 1 Red Cliffs,0,Monday,2025-08,273.2,1093
Route 3 West Side Connector,0,Monday,2025-08,280.8,1123
Route 4 Sunset,0,Monday,2025-08,210.5,842
Route 2 Riverside,0,Monday,2025-08,275.8,1103
Route 6 Dixie Dr South,0,Monday,2025-08,106.5,426
Route 5 Ivins,0,Monday,2025-08,81.5,326
Route 7 Washington,0,Monday,2025-08,111.8,447
Route 8 Zion,0,Monday,2025-08,100.2,401
Route 1 Red Cliffs,1,Tuesday,2025-08,249.8,999
Route 3 West Side Connector,1,Tuesday,2025-08,291.0,1164
Route 4 Sunset,1,Tuesday,2025-08,197.8,791
Route 2 Riverside,1,Tuesday,2025-08,258.5,1034
Route 6 Dixie Dr South,1,Tuesday,2025-08,103.2,413
Route 5 Ivins,1,Tuesday,2025-08,75.8,303
Route 7 Washington,1,Tuesday,2025-08,95.8,383
Route 8 Zion,1,Tuesday,2025-08,90.0,360
Route 1 Red Cliffs,2,Wednesday,2025-08,259.5,1038
Route 3 West Side Connector,2,Wednesday,2025-08,276.5,1106
Route 4 Sunset,2,Wednesday,2025-08,198.8,795
Route 2 Riverside,2,Wednesday,2025-08,253.8,1015
Route 6 Dixie Dr South,2,Wednesday,2025-08,112.0,448
Route 5 Ivins,2,Wednesday,2025-08,82.0,328
Route 7 Washington,2,Wednesday,2025-08,104.0,416
Route 8 Zion,2,Wednesday,2025-08,95.0,380
Route 1 Red Cliffs,3,Thursday,2025-08,252.8,1011
Route 3 West Side Connector,3,Thursday,2025-08,285.2,1141
Route 4 Sunset,3,Thursday,2025-08,200.0,800
Route 2 Riverside,3,Thursday,2025-08,268.8,1075
Route 6 Dixie Dr South,3,Thursday,2025-08,101.5,406
Route 5 Ivins,3,Thursday,2025-08,76.2,305
Route 7 Washington,3,Thursday,2025-08,101.5,406
Route 8 Zion,3,Thursday,2025-08,87.0,348
Route 1 Red Cliffs,1,Tuesday,2025-09,210.6,1053
Route 3 West Side Connector,1,Tuesday,2025-09,245.4,1227
Route 4 Sunset,1,Tuesday,2025-09,166.8,834
Route 2 Riverside,1,Tuesday,2025-09,218.0,1090
Route 6 Dixie Dr South,1,Tuesday,2025-09,87.2,436
Route 5 Ivins,1,Tuesday,2025-09,64.0,320
Route 7 Washington,1,Tuesday,2025-09,80.8,404
Route 8 Zion,1,Tuesday,2025-09,76.0,380
Route 1 Red Cliffs,2,Wednesday,2025-09,229.0,916
Route 3 West Side Connector,2,Wednesday,2025-09,244.0,976
Route 4 Sunset,2,Wednesday,2025-09,175.5,702
Route 2 Riverside,2,Wednesday,2025-09,224.0,896
Route 6 Dixie Dr South,2,Wednesday,2025-09,99.0,396
Route 5 Ivins,2,Wednesday,2025-09,72.2,289
Route 7 Washington,2,Wednesday,2025-09,91.8,367
Route 8 Zion,2,Wednesday,2025-09,83.8,335
Route 1 Red Cliffs,3,Thursday,2025-09,215.5,862
Route 3 West Side Connector,3,Thursday,2025-09,243.2,973
Route 4 Sunset,3,Thursday,2025-09,170.5,682
Route 2 Riverside,3,Thursday,2025-09,229.2,917
Route 6 Dixie Dr South,3,Thursday,2025-09,86.5,346
Route 5 Ivins,3,Thursday,2025-09,65.0,260
Route 7 Washington,3,Thursday,2025-09,86.8,347
Route 8 Zion,3,Thursday,2025-09,74.2,297
Route 1 Red Cliffs,4,Friday,2025-09,222.2,889
Route 3 West Side Connector,4,Friday,2025-09,219.5,878
Route 4 Sunset,4,Friday,2025-09,175.0,700
Route 2 Riverside,4,Friday,2025-09,213.8,855
Route 6 Dixie Dr South,4,Friday,2025-09,94.8,379
Route 5 Ivins,4,Friday,2025-09,64.2,257
Route 7 Washington,4,Friday,2025-09,93.5,374
Route 8 Zion,4,Friday,2025-09,77.2,309
Route 1 Red Cliffs,5,Saturday,2025-09,189.8,759
Route 3 West Side Connector,5,Saturday,2025-09,212.8,851
Route 4 Sunset,5,Saturday,2025-09,144.0,576
Route 2 Riverside,5,Saturday,2025-09,213.2,853
Route 6 Dixie Dr South,5,Saturday,2025-09,79.0,316
Route 5 Ivins,5,Saturday,2025-09,56.5,226
Route 7 Washington,5,Saturday,2025-09,84.5,338
Route 8 Zion,5,Saturday,2025-09,79.5,318
Route 1 Red Cliffs,0,Monday,2025-09,228.0,912
Route 3 West Side Connector,0,Monday,2025-09,234.5,938
Route 4 Sunset,0,Monday,2025-09,175.8,703
Route 2 Riverside,0,Monday,2025-09,230.2,921
Route 6 Dixie Dr South,0,Monday,2025-09,88.8,355
Route 5 Ivins,0,Monday,2025-09,68.0,272
Route 7 Washington,0,Monday,2025-09,93.2,373
Route 8 Zion,0,Monday,2025-09,83.8,335
Route 1 Red Cliffs,2,Wednesday,2025-10,236.6,1183
Route 3 West Side Connector,2,Wednesday,2025-10,252.2,1261
Route 4 Sunset,2,Wednesday,2025-10,181.4,907
Route 2 Riverside,2,Wednesday,2025-10,231.4,1157
Route 6 Dixie Dr South,2,Wednesday,2025-10,102.2,511
Route 5 Ivins,2,Wednesday,2025-10,74.8,374
Route 7 Washington,2,Wednesday,2025-10,94.8,474
Route 8 Zion,2,Wednesday,2025-10,86.6,433
Route 1 Red Cliffs,3,Thursday,2025-10,223.6,1118
Route 3 West Side Connector,3,Thursday,2025-10,252.4,1262
Route 4 Sunset,3,Thursday,2025-10,177.0,885
Route 2 Riverside,3,Thursday,2025-10,238.0,1190
Route 6 Dixie Dr South,3,Thursday,2025-10,89.8,449
Route 5 Ivins,3,Thursday,2025-10,67.6,338
Route 7 Washington,3,Thursday,2025-10,90.0,450
Route 8 Zion,3,Thursday,2025-10,77.0,385
Route 1 Red Cliffs,4,Friday,2025-10,212.6,1063
Route 3 West Side Connector,4,Friday,2025-10,210.0,1050
Route 4 Sunset,4,Friday,2025-10,167.6,838
Route 2 Riverside,4,Friday,2025-10,204.4,1022
Route 6 Dixie Dr South,4,Friday,2025-10,90.6,453
Route 5 Ivins,4,Friday,2025-10,61.4,307
Route 7 Washington,4,Friday,2025-10,89.6,448
Route 8 Zion,4,Friday,2025-10,73.8,369
Route 1 Red Cliffs,5,Saturday,2025-10,157.5,630
Route 3 West Side Connector,5,Saturday,2025-10,176.5,706
Route 4 Sunset,5,Saturday,2025-10,119.5,478
Route 2 Riverside,5,Saturday,2025-10,177.0,708
Route 6 Dixie Dr South,5,Saturday,2025-10,65.5,262
Route 5 Ivins,5,Saturday,2025-10,47.0,188
Route 7 Washington,5,Saturday,2025-10,70.0,280
Route 8 Zion,5,Saturday,2025-10,66.0,264
Route 1 Red Cliffs,0,Monday,2025-10,217.8,871
Route 3 West Side Connector,0,Monday,2025-10,223.8,895
Route 4 Sunset,0,Monday,2025-10,167.8,671
Route 2 Riverside,0,Monday,2025-10,219.8,879
Route 6 Dixie Dr South,0,Monday,2025-10,84.8,339
Route 5 Ivins,0,Monday,2025-10,65.0,260
Route 7 Washington,0,Monday,2025-10,89.0,356
Route 8 Zion,0,Monday,2025-10,79.8,319
Route 1 Red Cliffs,1,Tuesday,2025-10,235.5,942
Route 3 West Side Connector,1,Tuesday,2025-10,274.5,1098
Route 4 Sunset,1,Tuesday,2025-10,186.5,746
Route 2 Riverside,1,Tuesday,2025-10,243.8,975
